timestamp	clocks.sm	clocks.mem	power.draw	temperature.gpu	clocks_throttle_reasons.active	clocks_throttle_reasons.sw_power_cap	clocks_throttle_reasons.hw_slowdown	clocks_throttle_reasons.sw_thermal_slowdown	utilization.gpu
2026/09/22 07:52:50.533	2767.0	13801.0	599.88	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:50.633	2767.0	13801.0	599.93	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:50.733	2767.0	13801.0	599.93	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:50.833	2767.0	13801.0	599.93	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:50.934	2767.0	13801.0	599.93	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:51.034	2767.0	13801.0	599.93	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:51.134	2767.0	13801.0	600.06	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:51.234	2767.0	13801.0	600.06	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:51.335	2767.0	13801.0	600.06	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:51.435	2767.0	13801.0	600.06	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:51.535	2760.0	13801.0	600.06	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:51.635	2760.0	13801.0	599.97	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:51.735	2760.0	13801.0	599.97	53.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:51.836	2760.0	13801.0	599.97	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:51.936	2760.0	13801.0	599.97	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
2026/09/22 07:52:52.036	2767.0	13801.0	599.97	54.0	0x0000000000000004	Active	Not Active	Not Active	100.0
